Region,Year,NationalSociety,People trained in First Aid,Date
Asia Pacific,2023,Singapore Red Cross Society,12465,4/9/2026
Asia Pacific,2023,Tonga Red Cross Society,1349,4/9/2026
Europe and Central Asia,2023,Armenian Red Cross Society,4600,4/9/2026
Asia Pacific,2023,Myanmar Red Cross Society,64907,4/9/2026
Africa,2023,Sierra Leone Red Cross Society,2291,4/9/2026
Asia Pacific,2023,Marshall Islands Red Cross Society,1005,4/9/2026
Africa,2023,Cameroon Red Cross Society,4341,4/9/2026
Europe and Central Asia,2023,Malta Red Cross Society,2957,4/9/2026
Americas,2023,The Bahamas Red Cross Society,346,4/9/2026
Africa,2023,Ethiopian Red Cross Society,13450,4/9/2026
Middle East and North Africa,2023,Saudi Red Crescent Authority,79345,4/9/2026
Americas,2023,Mexican Red Cross,61505,4/9/2026
Americas,2023,Ecuadorian Red Cross,10700,4/9/2026
Africa,2023,Kenya Red Cross Society,16965,4/9/2026
Europe and Central Asia,2023,Belgian Red Cross,105665,4/9/2026
Africa,2023,Sudanese Red Crescent,223625,4/9/2026
Americas,2023,Guyana Red Cross Society,743,4/9/2026
Europe and Central Asia,2023,Latvian Red Cross,6481,4/9/2026
Europe and Central Asia,2023,Red Crescent Society of Kyrgyzstan,58519,4/9/2026
Africa,2023,Nigerian Red Cross Society,34115,4/9/2026
Middle East and North Africa,2023,Bahrain Red Crescent Society,22,4/9/2026
Europe and Central Asia,2023,Lithuanian Red Cross Society,17556,4/9/2026
Europe and Central Asia,2023,Estonian Red Cross,22159,4/9/2026
Middle East and North Africa,2023,Moroccan Red Crescent,60115,4/9/2026
Africa,2023,Senegalese Red Cross Society,464,4/9/2026
Americas,2023,Canadian Red Cross Society,854142,4/9/2026
Europe and Central Asia,2023,Russian Red Cross,820000,4/9/2026
Asia Pacific,2023,Tuvalu Red Cross Society,30,4/9/2026
Europe and Central Asia,2023,Spanish Red Cross,112983,4/9/2026
Africa,2023,Lesotho Red Cross Society,490,4/9/2026
Asia Pacific,2023,Lao Red Cross,3790,4/9/2026
Africa,2023,Baphalali Eswatini Red Cross Society,873,4/9/2026
Asia Pacific,2023,Vietnam Red Cross Society,135680,4/9/2026
Europe and Central Asia,2023,The Netherlands Red Cross,110000,4/9/2026
Europe and Central Asia,2023,Belarus Red Cross,25832,4/9/2026
Middle East and North Africa,2023,Red Crescent Society of the Islamic Republic of Iran,1360491,4/9/2026
Asia Pacific,2023,Indian Red Cross Society,480,4/9/2026
Americas,2023,Uruguayan Red Cross,1659,4/9/2026
Asia Pacific,2023,Philippine Red Cross,162102,4/9/2026
Europe and Central Asia,2023,Ukrainian Red Cross Society,158481,4/9/2026
Asia Pacific,2023,Nepal Red Cross Society,15443,4/9/2026
Africa,2023,Sao Tome and Principe Red Cross,26,4/9/2026
Asia Pacific,2023,Micronesia Red Cross,137,4/9/2026
Europe and Central Asia,2023,Turkish Red Crescent Society,1557068,4/9/2026
Africa,2023,Gabonese Red Cross Society,938,4/9/2026
Africa,2023,Central African Red Cross Society,9323,4/9/2026
Americas,2023,Salvadorean Red Cross Society,4627,4/9/2026
Asia Pacific,2023,Red Cross Society of the Democratic People's Republic of Korea,76975,4/9/2026
Africa,2023,Red Cross of the Democratic Republic of the Congo,11324,4/9/2026
Asia Pacific,2023,Pakistan Red Crescent,10200,4/9/2026
Middle East and North Africa,2023,Egyptian Red Crescent Society,12350,4/9/2026
Africa,2023,Ghana Red Cross Society,2565,4/9/2026
Americas,2023,Cuban Red Cross,67937,4/9/2026
Americas,2023,Suriname Red Cross,1048,4/9/2026
Europe and Central Asia,2023,Albanian Red Cross,77400,4/9/2026
Europe and Central Asia,2023,Magen David Adom in Israel,336456,4/9/2026
Asia Pacific,2023,Vanuatu Red Cross Society,195,4/9/2026
Africa,2023,Mauritanian Red Crescent,546,4/9/2026
Asia Pacific,2023,Japanese Red Cross Society,509341,4/9/2026
Africa,2023,The Comoros Red Crescent,101,4/9/2026
Middle East and North Africa,2023,Iraqi Red Crescent Society,1412518,4/9/2026
Africa,2023,Red Cross Society of Guinea-Bissau,800,4/9/2026
Middle East and North Africa,2023,Algerian Red Crescent,2942,4/9/2026
Middle East and North Africa,2023,Syrian Arab Red Crescent,3645,4/9/2026
Africa,2023,Uganda Red Cross Society,10360,4/9/2026
Americas,2023,Saint Vincent and the Grenadines Red Cross,621,4/9/2026
Middle East and North Africa,2023,Libyan Red Crescent,917,4/9/2026
Asia Pacific,2023,Red Cross Society of China,5072215,4/9/2026
Americas,2023,Chilean Red Cross,4450,4/9/2026
Africa,2023,Gambia Red Cross Society,719,4/9/2026
Africa,2023,Malawi Red Cross Society,8108,4/9/2026
Asia Pacific,2023,Bhutan Red Cross Society,1115,4/9/2026
Europe and Central Asia,2023,Red Cross of the Republic of San Marino,17,4/9/2026
Asia Pacific,2023,Fiji Red Cross Society,796,4/9/2026
Middle East and North Africa,2023,Jordan National Red Crescent Society,887,4/9/2026
Africa,2023,Red Cross Society of Seychelles,545,4/9/2026
Africa,2023,Congolese Red Cross,900,4/9/2026
Asia Pacific,2023,Papua New Guinea Red Cross Society,1428,4/9/2026
Africa,2023,Zambia Red Cross Society,3786,4/9/2026
Europe and Central Asia,2023,French Red Cross,71618,4/9/2026
Africa,2023,Namibia Red Cross,410,4/9/2026
Europe and Central Asia,2023,Slovenian Red Cross,35738,4/9/2026
