population_group_name,measure_name,location_name,cause_name,metric_name,year,val,upper,lower
All Population,DALYs (Disability-Adjusted Life Years),Global,Motor vehicle road injuries,Number,2023,29928808.71,36592008.12,24542767.27
All Population,DALYs (Disability-Adjusted Life Years),Global,Motor vehicle road injuries,Percent,2023,0.010709685,0.013587075,0.008619547
All Population,DALYs (Disability-Adjusted Life Years),Global,Other road injuries,Number,2023,1192491.532,1613209.57,878120.9668
All Population,DALYs (Disability-Adjusted Life Years),Global,Other road injuries,Percent,2023,0.00042564,0.000551151,0.000325386
All Population,DALYs (Disability-Adjusted Life Years),Global,Other transport injuries,Number,2023,4716602.755,6240276.321,3353145.29
All Population,DALYs (Disability-Adjusted Life Years),Global,Other transport injuries,Percent,2023,0.001685579,0.002239488,0.001216497
All Population,DALYs (Disability-Adjusted Life Years),Global,Unintentional injuries,Number,2023,155847875.5,187124587.2,131077640.6
All Population,DALYs (Disability-Adjusted Life Years),Global,Unintentional injuries,Percent,2023,0.055626226,0.061969296,0.04850791
All Population,DALYs (Disability-Adjusted Life Years),Global,Falls,Number,2023,74248024.9,94953470.54,58903499.83
All Population,DALYs (Disability-Adjusted Life Years),Global,Falls,Percent,2023,0.026455991,0.031206693,0.022360593
All Population,DALYs (Disability-Adjusted Life Years),Global,Drowning,Number,2023,17001044.4,21679814.89,13267728.22
All Population,DALYs (Disability-Adjusted Life Years),Global,Drowning,Percent,2023,0.006091635,0.00807462,0.004636318
All Population,DALYs (Disability-Adjusted Life Years),Global,"Fire, heat, and hot substances",Number,2023,10668484.41,14106979.56,7760913.631
All Population,DALYs (Disability-Adjusted Life Years),Global,"Fire, heat, and hot substances",Percent,2023,0.003812957,0.004995602,0.00283315
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisonings,Number,2023,3680682.853,5003438.727,2808575.449
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisonings,Percent,2023,0.001316732,0.001741115,0.000997004
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisoning by carbon monoxide,Number,2023,1343964.861,1804088.889,1067026.875
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisoning by carbon monoxide,Percent,2023,0.000480708,0.000651057,0.000378116
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisoning by other means,Number,2023,2336717.992,3392487.917,1620221.238
All Population,DALYs (Disability-Adjusted Life Years),Global,Poisoning by other means,Percent,2023,0.000836024,0.001207262,0.000552173
All Population,DALYs (Disability-Adjusted Life Years),Global,Exposure to mechanical forces,Number,2023,10705671.16,14451287.03,8218367.981
All Population,DALYs (Disability-Adjusted Life Years),Global,Exposure to mechanical forces,Percent,2023,0.003819846,0.004938007,0.003047422
All Population,DALYs (Disability-Adjusted Life Years),Global,Unintentional firearm injuries,Number,2023,1219165.248,1812953.847,854173.6328
All Population,DALYs (Disability-Adjusted Life Years),Global,Unintentional firearm injuries,Percent,2023,0.000435957,0.00063959,0.000308957
All Population,DALYs (Disability-Adjusted Life Years),Global,Other exposure to mechanical forces,Number,2023,9486505.914,12861081.38,7160037.604
All Population,DALYs (Disability-Adjusted Life Years),Global,Other exposure to mechanical forces,Percent,2023,0.003383889,0.004409479,0.002645158
All Population,DALYs (Disability-Adjusted Life Years),Global,Adverse effects of medical treatment,Number,2023,3935028.039,5152635.025,3050296.667
All Population,DALYs (Disability-Adjusted Life Years),Global,Adverse effects of medical treatment,Percent,2023,0.001408566,0.001909787,0.00108446
All Population,DALYs (Disability-Adjusted Life Years),Global,Animal contact,Number,2023,5668064.659,8055948.028,3595211.174
All Population,DALYs (Disability-Adjusted Life Years),Global,Animal contact,Percent,2023,0.002027066,0.002917501,0.001286964
All Population,DALYs (Disability-Adjusted Life Years),Global,Venomous animal contact,Number,2023,4785212.51,6984675.212,2915513.807
All Population,DALYs (Disability-Adjusted Life Years),Global,Venomous animal contact,Percent,2023,0.001711919,0.002519264,0.001020309
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Environmental heat and cold exposure,Number,2023,18051.84862,21800.27469,15354.50836
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Environmental heat and cold exposure,Percent,2023,0.005079169,0.005691564,0.004492542
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Non-venomous animal contact,Number,2023,636.5068036,971.0436592,445.0427198
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Non-venomous animal contact,Percent,2023,0.000178552,0.000252606,0.000128889
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Road injuries,Number,2023,39484.15087,44974.87725,34663.65669
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Road injuries,Percent,2023,0.011109336,0.012057414,0.010226922
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Pedestrian road injuries,Number,2023,9256.456131,10822.33072,7830.06977
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Pedestrian road injuries,Percent,2023,0.002605681,0.002975014,0.002308428
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Cyclist road injuries,Number,2023,5452.998634,6695.06512,4415.692758
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Cyclist road injuries,Percent,2023,0.001532005,0.001750816,0.00131627
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Motorcyclist road injuries,Number,2023,7064.527706,8505.408304,5872.195884
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Motorcyclist road injuries,Percent,2023,0.001987827,0.002275312,0.001742657
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Motor vehicle road injuries,Number,2023,16824.94584,19413.50022,14593.61547
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Motor vehicle road injuries,Percent,2023,0.004735074,0.005221386,0.004277832
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other road injuries,Number,2023,885.2225661,1076.108325,707.624542
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other road injuries,Percent,2023,0.000248748,0.000285548,0.000216463
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other transport injuries,Number,2023,3809.218458,4631.93178,3121.380806
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other transport injuries,Percent,2023,0.001071024,0.001260005,0.000904496
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Unintentional injuries,Number,2023,303905.9589,391035.2902,240955.6597
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Unintentional injuries,Percent,2023,0.085250721,0.09906474,0.073639331
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Falls,Number,2023,223070.5769,288664.6202,172463.8566
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Falls,Percent,2023,0.062534574,0.072814764,0.052855379
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Drowning,Number,2023,2821.896311,3257.546161,2421.330971
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Drowning,Percent,2023,0.000796947,0.000956722,0.000663265
All Population,DALYs (Disability-Adjusted Life Years),Belgium,"Fire, heat, and hot substances",Number,2023,8084.323651,12341.86262,5382.179352
All Population,DALYs (Disability-Adjusted Life Years),Belgium,"Fire, heat, and hot substances",Percent,2023,0.002267185,0.003230067,0.001629414
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisonings,Number,2023,2685.391192,3346.668777,2111.80668
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisonings,Percent,2023,0.000754067,0.00087609,0.000651534
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisoning by carbon monoxide,Number,2023,1165.783273,1337.303959,1019.876929
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisoning by carbon monoxide,Percent,2023,0.000328707,0.000381773,0.000285883
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisoning by other means,Number,2023,1519.607919,2081.639197,1041.811064
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Poisoning by other means,Percent,2023,0.000425361,0.000542889,0.000327329
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Exposure to mechanical forces,Number,2023,15352.41448,22215.17239,10436.33673
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Exposure to mechanical forces,Percent,2023,0.004299085,0.005905709,0.003210355
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Unintentional firearm injuries,Number,2023,622.6567586,790.9417792,491.2787255
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Unintentional firearm injuries,Percent,2023,0.000175085,0.000212534,0.000148247
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other exposure to mechanical forces,Number,2023,14729.75772,21495.15259,9917.54056
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other exposure to mechanical forces,Percent,2023,0.004123999,0.005739643,0.003044507
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Adverse effects of medical treatment,Number,2023,7591.615742,8514.091422,6552.953013
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Adverse effects of medical treatment,Percent,2023,0.002143896,0.00253854,0.001763467
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Animal contact,Number,2023,855.5930394,1221.116593,604.2311088
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Animal contact,Percent,2023,0.000240001,0.000314076,0.000190303
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Venomous animal contact,Number,2023,219.0862357,286.0869602,154.8834325
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Venomous animal contact,Percent,2023,6.14E-05,7.78E-05,4.84E-05
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Injuries,Number,2023,434294.946,527905.8886,365176.7495
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Injuries,Percent,2023,0.122023615,0.134813562,0.111876926
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Police conflict and executions,Number,2023,4.784775965,6.576705026,3.362942462
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Police conflict and executions,Percent,2023,1.35E-06,1.90E-06,9.41E-07
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Electrocution,Number,2023,268.2375129,355.5770931,205.9232055
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Electrocution,Percent,2023,7.55E-05,9.62E-05,5.83E-05
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Conflict and terrorism,Number,2023,169.092765,195.0855031,150.0583225
