"country_name","nuts1","nuts1_name","population","density"
"Belgique/België","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest",1253178,7642
"Belgique/België","BE2","Vlaams Gewest",6787969,497
"Belgique/België","BE3","Région wallonne",3701649,218
"Bulgaria","BG3","Severna i Yugoiztochna Bulgaria",3130130,47.6482960771597
"Bulgaria","BG4","Yugozapadna i Yuzhna tsentralna Bulgaria",3317580,83.6998249326316
"Crna Gora","ME0","Crna Gora",616695,45.3
"Danmark","DK0","Danmark",5932654,316.699763444826
"Deutschland","DE1","Baden-Württemberg",11167721,337.931326722793
"Deutschland","DE2","Bayern",13105221,208.730070046129
"Deutschland","DE3","Berlin",3632853,4320.5
"Deutschland","DE4","Brandenburg",2545159,87.6
"Deutschland","DE5","Bremen",695758,1754.8
"Deutschland","DE6","Hamburg",1832675,2596.2
